MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
20.5,26.3,3.2,E,26,WNW,E,13,15,81,69,1018.1,1016,23,25,Yes,Yes
17.2,30.3,2.8,NA,0,WNW,W,22,24,62,35,1009.7,1006,23.1,28.6,Yes,No
14.5,21.4,0,SSW,33,W,S,19,17,71,58,1026.8,1024.5,15.9,20.7,No,Yes
20.6,26.8,0,NE,44,NE,NE,15,24,58,57,1018.3,1015.4,24.1,25.5,No,No
9.1,15.7,0.4,NA,0,W,WSW,24,28,49,36,1015.8,1011.6,11.2,15.1,No,Yes
8.2,14.1,0,W,67,WNW,W,22,30,46,28,1015,1012.7,9.8,13.1,No,No
10.4,19,1.6,NNE,24,W,ENE,13,13,91,70,1016.1,1010.9,12.3,17.9,Yes,No
19.9,27.2,0,NA,0,NE,ENE,2,20,82,64,1014.7,1010.1,22.3,26.8,No,Yes
14.7,27.5,0,W,41,NNW,NNW,20,26,84,33,1008.3,1003.9,19,27,No,No
8.4,19.6,0,W,22,W,W,17,9,57,38,1027.4,1025,12.9,18.1,No,No
14.7,17.6,10.8,NW,30,N,W,9,7,95,92,1012.5,1009.1,16,16.4,Yes,Yes
9.6,14.5,67,NA,0,W,SSW,24,20,98,88,1017.2,1017.5,9.9,12.5,Yes,Yes
8.7,15.6,57.4,SSW,41,W,SSW,22,22,89,67,1020.4,1019.1,9.1,14.5,Yes,Yes
9,19.7,0,W,31,W,ESE,17,13,50,39,1015.8,1013.3,12.7,17,No,No
7.9,20.3,0,WNW,22,WNW,WNW,15,7,75,32,1025.9,1023.3,9.2,19.5,No,No
12.1,16.9,0.8,NA,0,WNW,WNW,11,7,89,84,1011.7,1006.3,14.1,16.8,No,Yes
17.2,22.3,27.6,NA,0,S,SE,7,15,77,61,1008.3,1007.4,18.9,21.1,Yes,Yes
21.4,27,6,E,37,S,ESE,9,13,89,67,1025.4,1024.6,21.9,26.6,Yes,Yes
17.4,25.1,0.8,NA,0,W,ENE,9,9,91,72,1016.5,1014.4,19.1,24,No,No
21.4,28.3,0,NNE,50,NNE,NE,20,28,57,57,1012.2,1009.1,25.2,26.1,No,No
17.6,26.7,0,NA,0,W,NE,11,19,82,58,1017.9,1015.1,20.4,25,No,No
19.6,27.8,0,NE,35,W,NE,9,20,67,46,1023.6,1021.3,22.8,26.3,No,No
6.9,18.3,0,W,37,WNW,WSW,17,19,55,38,1028.1,1026.1,9.9,18.1,No,No
14.9,28.4,18,WSW,48,W,W,13,24,75,39,1008.8,1007.9,18.5,27,Yes,No
21.2,29.6,0,NE,43,NE,ENE,4,15,62,59,1010.1,1005.5,25,27.3,No,No
16.9,24.6,10.2,E,28,W,E,7,19,71,62,1009.4,1007,20,23.4,Yes,No
12.5,24.1,0,NNW,39,NNW,WNW,24,17,39,22,1013.6,1007.7,15.9,23.9,No,No
5.6,15.8,0,NA,0,W,SSW,20,19,59,33,1024.9,1021.2,9.2,15.3,No,No
9.6,16.3,0,WSW,54,WNW,WSW,19,30,47,30,1010.6,1010.4,11.2,15.7,No,No
18.7,24.8,2.2,ENE,35,NE,ENE,9,24,83,60,1020.6,1019.2,20.1,23.9,Yes,No
14.9,24.5,0,NA,0,W,WSW,30,20,33,22,1014.3,1011.7,16.8,24.2,No,No
11.3,22,0,W,37,W,ESE,22,19,49,42,1014.8,1012.2,16.8,20.1,No,No
13.2,23.6,1,WSW,54,W,SW,11,20,89,31,1008.1,1004.9,15.7,21.3,No,No
17.4,23.3,0,NA,0,E,E,2,20,63,56,1023.5,1021.9,21.9,22.2,No,No
20.9,24.9,1,NE,26,E,ENE,2,17,88,82,1003.7,999.5,21.5,23.1,No,Yes
14.6,25.8,0,NA,0,0,NE,0,20,67,47,1015.8,1011,19.4,24,No,No
15,24.3,0,W,41,WNW,ENE,9,11,77,65,1022.7,1018.6,18.7,21.4,No,Yes
10.8,16.6,0.4,SSE,33,WNW,SSW,19,20,91,67,1031.6,1028.1,12.3,16.2,No,Yes
21.4,27.5,0,NNE,46,S,E,9,20,74,65,1022.5,1018.4,23.2,25.9,No,No
13,23,0,NA,0,W,SSE,22,13,57,44,1014.3,1011.8,16.5,22,No,No
16.5,20.1,31.8,SSE,63,SE,SSE,26,26,86,85,1014.4,1016.2,19.5,18.7,Yes,Yes
22.2,28.7,0,NE,46,NNE,NE,4,26,71,58,1021.3,1019.4,25.2,28.4,No,No
18.4,24.5,10.2,E,26,SE,ESE,9,13,84,74,1018.4,1016.5,20.5,21.9,Yes,Yes
10.1,19.2,6.2,W,26,WNW,NNE,19,2,85,40,1032.9,1031.1,11.7,18.7,Yes,No
12.5,23.2,0,W,33,W,ESE,20,17,52,45,1021.8,1019.5,15.1,20.3,No,No
17.7,20.6,0,S,56,SSW,S,28,20,71,77,1019.2,1020.1,18.4,18.6,No,Yes
21.5,32.6,0,NE,56,NNW,NE,17,20,60,51,1014.9,1010.1,25.5,28.6,No,No
14.9,25.3,1.6,W,33,W,ESE,20,15,66,51,1018.2,1016.9,18.3,23.9,Yes,No
21.4,29,0,ENE,41,NW,E,2,26,75,67,1012.5,1007.9,24.3,26.5,No,No
17.2,18,0.4,SSW,41,SSW,SSE,11,9,86,81,1012.7,1011,17.2,17.5,No,Yes
12,21.4,0.2,NA,0,W,E,13,9,90,60,1022.2,1017.8,13.9,21.3,No,Yes
22.2,25.6,0.2,SSE,61,NNW,S,4,33,89,66,1014.8,1015.1,23.3,24.8,No,No
15.2,25.3,0,W,48,NW,W,20,28,53,28,1002,1000,20.7,24.7,No,No
19.2,23.8,0,NA,0,SSE,SE,33,22,61,51,1006.3,1007.8,21.2,22.3,No,No
17.5,20.4,1.6,SSW,37,S,ESE,20,20,82,77,1022.3,1022.3,18.3,19.8,Yes,Yes
12.3,18.5,2.2,ESE,46,SE,SSE,26,28,56,56,1034.8,1034.6,16.2,17.6,Yes,No
21,26,0,ENE,43,E,ENE,19,24,73,63,1016.5,1015.4,23.5,25.4,No,No
17.4,23.8,0,NA,0,0,ENE,0,9,80,69,1025.4,1023,19.8,23,No,No
15.2,24.9,0,NE,43,E,NE,7,19,62,59,1022.1,1017.8,21.1,22.3,No,No
22.1,26.4,10,NA,0,W,E,9,11,91,92,1007.3,1004.5,23.5,23.9,Yes,Yes
17.2,23.5,3.6,NA,0,N,NW,15,7,82,79,1011.8,1007.4,18,19.3,Yes,Yes
20.1,21.3,1.8,SSE,43,SSE,SE,22,20,78,68,1022.7,1022.9,20.3,20.9,Yes,Yes
21.5,26.2,5.4,E,48,ENE,E,20,26,80,65,1016.4,1014.7,24.1,26,Yes,No
11.8,17.9,32.6,WSW,54,W,SSE,31,24,77,59,1011.8,1012.8,13.3,17.8,Yes,No
14.7,22.6,0,ENE,24,WNW,ENE,11,17,82,65,1022.1,1017.2,16.6,22.4,No,No
9.6,18.8,0,W,52,NW,N,9,15,82,59,1023,1019.9,11.5,18.3,No,Yes
10.9,19.5,1,NE,35,WNW,NE,17,24,93,60,1029.5,1024.2,12.2,18.2,No,No
10.5,23.1,0,W,22,W,E,17,11,82,40,1025.1,1021.1,12.4,22.2,No,No
17.9,22.8,6.6,ESE,41,SSW,S,11,17,85,86,1020.3,1020.6,19.3,19.8,Yes,Yes
8.2,20.4,0,W,39,W,WNW,24,9,48,32,1019.8,1016.4,12.5,19.9,No,No
20.6,27.5,0,ENE,33,WNW,E,11,22,78,61,1022.6,1022.4,22.7,26.9,No,No
14.2,27,0,NA,0,WNW,WNW,11,17,36,18,1013.2,0,21.7,26.2,No,No
14.7,22.9,4.2,SSE,41,WSW,SSE,13,22,61,46,1016.7,1016.4,17,22.2,Yes,No
19.7,29,19.8,NNE,43,W,E,9,13,77,63,1014.4,1011.2,24.2,27.6,Yes,No
9.2,22.2,0,ESE,31,W,E,19,26,50,33,1022.3,1018.5,14.7,18.2,No,No
13,21,0,W,22,W,E,17,11,84,65,1024.7,1021.9,14.7,20.1,No,No
8.7,17.5,0,SE,35,W,SE,17,6,76,87,1029.6,1027.2,11,15.8,No,Yes
9.6,22,0,SW,31,W,WSW,20,11,76,34,1014,1010.4,12.2,21.6,No,No
17.9,22.1,0,SSE,61,SSE,ENE,24,19,64,49,1013.1,1012.7,18.4,20.5,No,No
13,20.1,0.8,NA,0,SSW,SSE,11,17,86,46,1024.6,1023.6,13.9,19.6,No,Yes
18.4,19.9,17,SSE,57,SSW,SSE,15,28,88,78,1005.5,1005.8,18.5,18.9,Yes,Yes
19.6,22.7,0,NE,31,NNW,E,6,19,84,80,1013,1010.2,20.9,22,No,Yes
12.2,19.9,0,S,43,WNW,SE,9,28,53,57,1018.4,1018.3,18,17.7,No,Yes
11.1,20.2,0,NW,39,W,WNW,13,19,73,31,1013.2,1009.7,13.4,19.1,No,No
18.6,29.8,6.8,WNW,54,WNW,WSW,26,26,42,34,1006.7,1007.9,23.4,27.2,Yes,No
11.1,19.9,0.8,NA,0,W,E,20,15,46,44,1017.4,1017.2,15.3,17.5,No,No
13,26.6,0,NNW,48,NNW,ENE,17,15,31,26,1015.6,1007.6,20.8,26,No,No
15.4,20.5,23.4,WNW,65,WNW,WNW,33,30,50,39,998.3,1004.3,17.6,20.1,Yes,No
12.1,19.2,12,NA,0,NNE,N,15,22,91,71,1011.2,1009.555,15.3,19.1,Yes,No
18.4,22.8,14.4,NA,0,S,S,24,30,87,70,1009.2,1011.7,20.9,21,Yes,Yes
16.9,26.1,0.2,SSE,31,WNW,ESE,17,20,61,47,1014.2,1012.3,20.1,25.5,No,No
8,15.7,6.6,NA,0,W,SSW,19,13,73,54,1026.7,1024.6,9.2,15.5,Yes,No
16.1,24.4,0,NA,0,WNW,E,9,19,77,66,1023.6,1021.7,18.9,23,No,No
8,14.8,2,NA,0,W,SSW,17,19,80,92,0,1025.6,11,12.8,Yes,Yes
14.2,22.7,3.8,W,22,W,E,9,15,73,62,1024.5,1021.6,19,22.2,Yes,Yes
17.3,21.8,0.4,S,28,W,SSE,17,7,83,66,1016,1013.2,18.3,21.6,No,No
11.3,21.2,0,WNW,20,W,E,15,11,91,69,1028.3,1024.4,12.8,19.8,No,No
9.3,21.6,0,WSW,44,W,W,17,15,50,27,1016.1,1011.3,12.2,19.8,No,No
14.6,17.7,1.2,ENE,80,S,ENE,6,35,75,91,1016,1010,16.5,16.5,Yes,Yes
21.4,28.2,0,NA,0,E,ENE,4,26,71,60,1017.1,1013.5,25.3,27.4,No,No
14.5,22,0,NNE,24,W,E,13,9,82,66,1024.4,1020.2,16,21.8,No,No
12.9,17.9,2.6,WNW,24,N,NNE,9,7,85,94,1022.8,1018.3,16.5,15.8,Yes,Yes
15.1,21.3,10.4,SE,33,ESE,E,13,15,57,50,1016.7,1015.1,17.4,19.8,Yes,No
12.7,16.3,0,W,69,WNW,W,13,43,52,33,1003.8,1003.2,15.8,14.4,No,No
9.5,18.3,2.6,SSE,48,WNW,SSW,17,19,85,78,1029.2,1026.9,11.8,14.5,Yes,Yes
19.6,33.6,0,NW,80,N,WNW,31,43,23,10,1005.9,1003.3,27.5,31.5,No,No
9.1,18.9,0,NA,0,NNW,E,7,7,86,49,1015.2,1010.7,10.7,18.6,No,No
16.7,21.3,1.4,NA,0,ESE,0,24,0,66,57,1027.6,1027.1,19.2,20.8,Yes,Yes
13.8,24.7,0,NA,0,WNW,NE,9,15,49,30,1014.8,1010.9,20.7,23.7,No,No
19,26.1,13.6,NA,0,NW,E,4,15,92,59,1017,1012.9,19.6,25.5,Yes,Yes
12.8,24.9,0,NA,0,WSW,SE,19,17,53,51,1020.3,1019.3,17.3,22.2,No,No
19.9,25.7,3.8,NE,46,N,NE,17,24,74,63,1012.3,1009.9,22.3,24.3,Yes,Yes
18.5,26.3,0,NNE,54,NNE,NE,7,26,60,50,1019.4,1014.3,21.1,25,No,No
12.9,20.2,0.2,NW,48,NNW,NW,22,24,52,48,1006.9,1000.4,15,19.9,No,No
11.1,16.2,0,NA,0,W,W,44,37,50,41,1003.5,1004,12.3,14.5,No,No
11.8,19.9,5,W,31,WNW,W,17,19,89,53,1012.1,1009.2,14.3,19.2,Yes,No
20.8,30,0,NA,0,WNW,W,11,22,46,35,1013.4,1012.2,23.9,29.6,No,No
11.3,20.9,0,NA,0,E,NE,4,17,44,37,1017.6,1013.5,16,20.4,No,No
14.1,23.8,0,ENE,28,WNW,E,11,13,69,41,1028.4,1025.7,18.7,23.7,No,No
11.8,14.7,2.4,S,43,SSE,ESE,11,9,79,90,1013.3,1007.5,13.4,13.7,Yes,Yes
12.3,27.3,0,ENE,30,W,NE,13,15,59,36,1019,1013.1,17.6,25.7,No,No
10.5,17.7,0,SSE,46,W,SSW,17,24,65,59,1026.9,1025.8,11.9,16,No,Yes
16.5,24,0,NE,44,WNW,E,4,26,82,54,1026,1024.3,19.3,23.2,No,No
22,27.3,0,NE,50,NNE,NE,20,28,74,62,1011.5,1008.8,23.8,26.1,No,Yes
20.1,28.7,0.2,E,31,N,E,11,20,70,65,1013.6,1008.9,23.3,25.8,No,No
15.2,19.1,4,NA,0,W,E,17,22,98,90,1026.4,1024.1,15.6,16.7,Yes,Yes
11.1,22.9,3.6,W,35,WNW,ESE,11,17,57,45,1016,1014.4,17.2,20.1,Yes,No
12,19.1,0.2,ESE,33,W,ESE,13,26,51,63,1022.1,1020,15,16.8,No,No
9.4,17.5,0,NA,0,W,SSE,15,24,68,51,1019.5,1018.2,13.9,16.4,No,No
14,19.4,0,NA,0,W,S,20,13,79,64,1025.2,1024.4,14.4,19.2,No,Yes
21.9,24.9,2.6,ENE,56,ENE,NE,26,24,84,85,1013.2,1009,23.1,24.5,Yes,Yes
24.8,40.9,0,NA,0,NW,W,11,26,55,20,1004.8,1002.8,31.5,40.1,No,No
14,19.4,0,NA,0,WNW,SSE,13,15,84,67,1023.1,1021.2,16.8,18.7,No,No
15.2,26.8,0,WSW,61,NW,SSW,9,22,53,32,1013.9,1012.4,21.5,23.8,No,No
7.6,19.3,0,NA,0,W,ESE,17,15,69,40,1022.8,1020.4,10.5,17.5,No,No
17.3,21.7,0,NA,0,0,0,0,0,63,61,1023.8,1020.2,19,21,No,No
12.7,22.9,0,WSW,59,W,ESE,26,24,37,39,1011.7,1013.3,17.1,22,No,No
12.9,24.9,0,NA,0,W,ENE,7,20,71,49,1024.2,1021,17.6,22.4,No,No
15.9,29,0,NNE,56,N,NE,22,28,31,37,1014.9,1008.7,23.1,25.4,No,No
18.9,20.9,31.6,SSW,50,SSW,S,15,22,98,86,1014.8,1012.8,19,20.8,Yes,No
13.5,22.4,0,W,28,WNW,E,13,20,55,54,1020.7,1016.9,16.2,21.3,No,No
10.9,16.2,0,SW,39,WSW,SSE,20,19,40,46,1020.8,1021,12.6,14.7,No,No
13.1,20.8,5.2,SSW,43,W,SSW,20,20,75,49,1017.1,1014,14.6,20.2,Yes,No
14.8,18,40.8,SSE,50,SSW,SSE,22,17,83,83,1015.5,1014.5,16.4,16.8,Yes,Yes
11.1,13.3,39.2,WSW,56,SW,SW,22,30,94,92,1016.6,1014.3,12,11.4,Yes,Yes
8,18.8,0,WNW,31,W,ENE,11,19,61,46,1018,1012,11.9,18.6,No,Yes
22.5,27.5,0,ESE,33,ESE,ESE,17,22,60,55,1019.3,1019,26,25.2,No,No
7.9,18.7,0,W,33,W,E,20,6,66,51,1016.6,1012.2,9,16.2,No,No
20.4,25.7,0,NNE,41,W,E,7,24,85,70,1023.4,1020.3,21.3,24.3,No,No
8.9,19.6,0,NE,30,WNW,NE,17,17,72,54,1032.7,1029.7,12,19.2,No,No
13.1,23.7,0,SSE,41,W,SSE,19,22,65,39,1019.6,1017.4,17.2,23.1,No,No
10.8,22.9,0,WNW,52,WNW,WNW,15,19,67,36,1024.5,1019.5,14.8,22.5,No,No
12.7,28.3,0,NE,48,NNE,ENE,9,35,33,32,1018.9,1012.4,21.1,25.1,No,No
10.9,22,0,NA,0,W,S,22,22,61,56,1025.1,1022.7,14,20.8,No,Yes
12.3,20.9,0,NA,0,W,S,20,24,71,61,1027.5,1025,14.9,19.6,No,No
22.2,27.6,0,E,41,NE,E,9,28,59,60,1019.9,1019,26.4,26.7,No,No
12.6,18.8,0.4,NA,0,W,W,24,24,44,31,1011.5,1010.3,14.3,18.3,No,No
19.6,24.3,5,ENE,30,NNE,E,7,20,89,69,1019,1017.2,20.5,22.6,Yes,Yes
10.4,16,0,W,41,WNW,W,13,19,85,90,1015.1,1009.7,11.6,15.8,No,Yes
14.9,22.8,7.8,SE,41,WNW,SSE,15,20,78,60,1028.1,1026.3,17.9,20.7,Yes,No
18.6,25,16.4,NA,0,SE,SE,19,24,82,62,1017.6,1017.8,20.3,22.6,Yes,Yes
22.6,25.9,0.4,E,44,ESE,ENE,20,24,71,67,1019.2,1020.2,23.9,21.4,No,Yes
13,19.9,0.2,E,28,SW,E,4,17,57,42,1034.8,1031.6,17.7,19.2,No,No
18.1,27.8,0.4,W,72,W,WSW,44,31,35,14,1007.9,1009.9,20.2,26.4,No,No
17.2,23.6,5.6,SSE,37,SSE,E,22,11,80,54,1025,1024.2,19.7,23.2,Yes,No
17.4,31.7,0,ESE,33,W,SE,20,28,77,35,1009.1,1007.1,20.9,29.5,No,No
21.6,28,0,E,33,ENE,E,13,20,65,56,1021,1019.7,25.6,27,No,No
18.1,21.5,0,NA,0,SSE,SSE,13,13,84,74,1026.2,1024.3,18.7,20.6,No,No
11.6,22.9,0,N,31,W,ENE,15,19,62,40,1024.5,1020.7,14.2,20.7,No,No
6.8,18.6,0,W,33,W,WNW,22,6,54,25,1024.4,1021.3,9.8,18.2,No,No
19.5,26.1,4.4,ESE,39,E,ESE,22,22,53,49,1021.9,1020.9,23.7,25.1,Yes,No
8.6,17.6,0.6,WSW,44,W,W,13,17,62,31,1011.5,1010.4,11.5,17.6,No,No
10.3,20.9,0.2,SSE,39,WNW,S,20,22,63,50,1026.1,1024.5,14,20.1,No,No
14.2,20.9,0,SSE,39,S,SSE,19,26,71,61,1019.4,1016.9,16.4,19.4,No,No
13.4,17.3,9,NA,0,W,ESE,17,50,96,94,1004.8,1004.9,13.5,15.6,Yes,Yes
8.3,18.9,12.2,NA,0,W,WSW,19,17,72,34,1016.3,1015.4,10.5,18.8,Yes,No
8.3,17,0,ENE,24,WNW,NE,15,13,90,67,1030.4,1026.6,9.3,16.7,No,No
9.5,18.7,0,SSE,37,W,SSE,20,22,82,62,1030,1029.1,11.2,18.2,No,Yes
20,24.9,0,S,65,SSE,SE,17,20,82,62,1012.7,1012.4,20.9,24.4,No,No
10,16.4,0,NW,69,NW,NW,28,28,45,37,1004.5,1004.8,12.1,15.5,No,No
6.4,15.4,2,W,33,W,W,22,13,79,46,1019.9,1017.8,8.3,13.8,Yes,No
13.2,25.3,0,W,35,W,ESE,20,15,48,31,1021.1,1018.5,15.9,24.4,No,No
9.8,21.1,0,W,31,W,SSE,22,13,68,50,1025,1022.5,12,19.9,No,No
16.8,33.6,0,NA,0,NE,WSW,9,28,37,24,1007.7,1004.1,25.3,31.8,No,Yes
17.7,23.5,0,NNE,67,ESE,NE,15,30,67,75,1017.1,1012.6,20.7,21,No,Yes
22.2,27.4,0,E,56,NNE,E,7,19,68,63,1011.1,1012.4,23.7,27,No,No
9.5,19.8,0,W,63,WNW,WSW,9,31,51,18,1014.7,1009.9,13.5,18.9,No,No
21.8,27.7,0.2,NA,0,N,NE,9,22,76,60,1021.5,1018.2,24.5,27.2,No,No
10.3,18.6,0,NA,0,W,E,6,19,67,54,1031.6,1027.8,16,18.2,No,No
16.7,23.9,0.6,ENE,28,W,E,9,17,81,57,1014.9,1013.3,20,22.9,No,No
18.9,24.2,0,ENE,30,S,E,2,13,75,61,1019.2,1015.9,20.2,23.5,No,No
17.6,20.9,6.8,SSE,39,S,ENE,7,15,84,67,1023.2,1019.2,17.7,20.7,Yes,Yes
9.1,18.1,0,WNW,24,W,ESE,17,15,76,64,1032.1,1029.6,10.9,16.9,No,No
7.8,17.3,0,NA,0,W,N,4,17,67,58,1024.2,1021.2,11.5,17.1,No,No
21,26.2,0.2,ENE,37,ENE,ENE,13,26,62,52,1005.3,1000,22.2,24.8,No,No
12.6,21.5,0,NA,0,WNW,E,11,20,76,57,1029,1025.4,16.9,20.5,No,No
10.4,19.9,0.2,E,30,W,NE,9,17,79,64,1025.4,1020.6,13,19,No,No
16.2,25.6,0,NE,46,E,NE,9,26,58,45,1019,1013.5,22.6,25.3,No,No
11.3,19.3,0,NA,0,WNW,WNW,11,19,45,26,1012.4,1010.9,14.3,19.2,No,No
21.8,25.3,2,ESE,46,ESE,ESE,30,28,80,70,1017.5,1016.8,23.5,24.1,Yes,No
8.9,15.7,0,SW,56,W,SW,19,31,58,60,1016,1017,11.6,14.2,No,Yes
18,22.6,16.8,ENE,48,E,NNE,26,17,66,81,1019.6,1018.5,20.9,19.9,Yes,Yes
20.7,27.2,0,WSW,41,S,ESE,7,20,74,69,1015.9,1012.3,22.5,24.1,No,Yes
17.1,24.8,10.8,NE,43,WNW,NE,4,24,94,59,1025.8,1022.3,19.4,24.3,Yes,No
13.1,21.3,0,SSE,41,SSW,SE,7,24,39,40,1015.7,1016.4,18,19.1,No,No
11.7,23,0.2,NE,46,W,NE,11,24,57,48,1024.3,1017.7,17.3,21,No,No
12.5,19.9,54.4,NW,56,WNW,W,22,20,66,53,1013.4,1012.8,16.1,18.7,Yes,Yes
15,25.6,0,ESE,26,NW,E,6,19,60,50,1019.9,1018.7,20.2,23.7,No,No
18.4,24,0.6,NA,0,S,ESE,17,24,76,59,1011.1,1010.2,19.2,22,No,No
19.2,26.1,0,NA,0,WNW,ESE,6,20,84,69,1019.7,1019,22.4,25.3,No,No
11.7,22.2,0,NNE,37,WNW,NE,6,17,66,66,1022.7,1016.6,18.5,20.8,No,No
12.8,21.1,0,S,50,W,SSW,17,26,44,45,1014.2,1015.6,18.1,19.9,No,Yes
19.7,26.2,0,NE,65,NE,NE,9,22,66,76,1017.1,1014.2,24.6,24.6,No,No
12.6,24.7,0,NA,0,WNW,NE,9,22,70,69,1020.9,1015.7,19,20.5,No,No
7.4,14.7,0.6,W,56,W,W,22,26,63,72,1014.6,1011.6,8.7,10.3,No,Yes
11.1,26.7,0,S,59,SE,WNW,6,24,37,14,1022.3,1017,19,26,No,No
20,28.7,0.2,SE,41,SSE,SE,22,22,76,52,1014.9,1013.3,25,27.3,No,No
16.5,26.8,0,NA,0,W,NE,6,9,64,48,1022.3,1018.5,21.3,26.6,No,No
20.1,33.6,3.6,NW,63,NNW,W,28,31,47,16,1004.8,1002.3,27,32.9,Yes,No
10.5,21.7,0,NA,0,W,S,20,24,62,47,1017.6,1016.1,13.2,20.5,No,No
11.1,18.3,0.2,W,28,WNW,WNW,11,9,84,52,1022,1017.8,13.1,17,No,No
12.3,20.2,0.2,E,26,WNW,E,6,17,55,51,1032.1,1028.9,16.9,18.9,No,No
12.2,22,0,NE,28,W,NE,19,17,71,41,1031.2,1029.1,15.9,21.4,No,No
19.3,24.2,0.2,ESE,41,S,E,9,20,83,63,1018.2,1017,22.2,23,No,Yes
20.2,28.3,0,NA,0,SSW,E,11,20,77,64,1011.6,1008,23.1,25.8,No,No
10.4,24.9,0,WNW,30,W,NE,11,13,45,45,1022.1,1017.2,17.6,21.3,No,No
18.3,25.9,0,NA,0,SE,SE,19,20,52,51,1022.4,1023.4,23.7,24.9,No,No
9.1,18.9,0,SSW,41,W,S,20,26,66,52,1026.5,1025.3,12.1,17.7,No,Yes
12.8,23.4,0,NA,0,0,E,0,11,89,57,1022.3,1018.9,13.9,21.6,No,No
15.8,21.9,1.4,S,57,S,SSE,22,22,51,41,1020.7,1020.6,17.5,20.9,Yes,Yes
13.5,19,9.8,WSW,50,SE,E,4,9,83,58,1005.4,1004.1,14.6,18.2,Yes,Yes
20,26.9,0,ENE,33,SSW,E,2,22,75,63,1017.6,1014.3,23.1,26.1,No,No
19.5,25.5,0,NA,0,W,NE,7,20,75,61,1023.4,1019.6,21.1,24.8,No,No
22.8,27.8,0,ENE,37,ENE,ENE,6,19,79,66,1020.1,1017.9,23.8,26.8,No,No
16,20.2,0,SSW,30,SSW,S,15,9,73,69,1021.4,1017.8,17.5,18.9,No,Yes
11.3,19.6,0,SSW,37,WNW,SSE,13,15,59,41,1030.9,1029.8,15.5,18.9,No,No
17.6,19.5,0,NW,33,NW,N,20,15,81,85,1014,1011,19.4,19.1,No,Yes
19.3,28.7,0,NE,52,ENE,ENE,7,22,65,51,1012.6,1009.4,25.1,28.3,No,No
13.3,20.2,0.4,SW,65,WSW,SSW,20,35,50,39,1014.7,1012.8,15.3,20,No,Yes
